contig,CLEAN_DAY0_DO_0_ENV_CELL_CONTROL_NONE,DAY7_DO_0_12C_CELL_ENRICHED_10,DAY7_DO_0_12C_CELL_ENRICHED_6,DAY7_DO_0_12C_CELL_ENRICHED_7,DAY7_DO_0_12C_CELL_ENRICHED_8,DAY7_DO_0_12C_CELL_ENRICHED_9,DAY7_DO_0_13C_CELL_ENRICHED_5,DAY7_DO_0_13C_CELL_ENRICHED_6,DAY7_DO_0_13C_CELL_ENRICHED_7,DAY7_DO_0_13C_CELL_ENRICHED_8,DAY7_DO_0_13C_CELL_ENRICHED_9
day0_DO_0_env_virus_control_000000000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000122,0.7897109520021215,22.045346062052506,0.0,0.0,0.0,0.8231238398302837,0.0,0.0,0.0,0.2381331211880138,11.967647838769556
day0_DO_0_env_virus_control_000000000123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000124,0.0,0.393562545720556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2420789327404113,0.0
day0_DO_0_env_virus_control_000000000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000137,0.0,3.918527672345309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6400388383793802
day0_DO_0_env_virus_control_000000000138,0.1181763647270545,0.0,0.0,0.0,0.0617876424715057,0.0,0.0,0.0,0.0,0.6031793641271745,0.0
day0_DO_0_env_virus_control_000000000139,0.0,0.2103555168071297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000140,0.0,0.4778347070617064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000141,1.8942131448023043,51.932143792316616,0.0,0.0,0.0,0.5448696367785134,0.0,0.0,0.0,0.3101784311525081,61.87797852841058
day0_DO_0_env_virus_control_000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000144,2.8140077821011675,0.0,0.0,0.0,0.0,1.13852140077821,0.0,0.0,0.0,1.82704280155642,0.0
day0_DO_0_env_virus_control_000000000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384870603848706,0.0
day0_DO_0_env_virus_control_000000000151,1.3722508824327992,0.0629921259842519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000156,0.0,0.8449798321159926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000163,0.4799112644811437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000170,0.0,0.8014050638879721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000173,0.0,0.9664558702227112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000174,0.0,0.02701715954728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000176,0.0,1.8429983381439687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000183,0.2105385329619312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000187,3.212107046862218,4.420123875189903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.355030968797476
day0_DO_0_env_virus_control_000000000188,0.0,0.712138400453772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day0_DO_0_env_virus_control_000000000191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
